symbol,entry_date,exit_date,entry_price,exit_price,shares,pnl,pnl_pct,hold_days,exit_reason,t_statistic,composite_score,kelly_fraction,regime,composite_proxy,health_proxy
SLB,2020-11-16,2020-12-18,20.04,22.33,193,441.96,0.1143,23,trail_profit,0.3417,0.6422,0.0387,NEUTRAL/TRENDING,2.0,0.265
OXY,2020-12-10,2020-12-21,21.31,17.16,188,-779.5,-0.1946,7,trail_loss,0.2353,0.5219,0.0384,NEUTRAL/TRENDING,2.0,-0.764
NCLH,2020-12-09,2020-12-22,27.26,23.07,150,-628.58,-0.1537,9,trail_loss,0.2743,0.5319,0.0389,NEUTRAL/TRENDING,2.0,-0.324
QXO,2020-12-14,2020-12-22,3.43,3.16,967,-259.58,-0.0783,6,trail_loss,0.4631,1.0645,0.032,NEUTRAL/TRENDING,2.0,-0.361
MO,2020-12-09,2020-12-24,43.03,41.75,95,-121.34,-0.0297,11,trail_loss,0.2549,0.525,0.0387,NEUTRAL/TRENDING,1.491,-0.104
NOW,2020-12-04,2020-12-29,525.76,544.23,7,129.3,0.0351,16,trail_profit,0.3497,0.5735,0.0391,NEUTRAL/MIXED,1.353,-0.312
TSCO,2020-12-17,2020-12-29,145.69,144.35,28,-37.6,-0.0092,7,trail_loss,0.5367,0.9507,0.0403,NEUTRAL/TRENDING,1.76,-0.463
CMG,2020-12-08,2020-12-30,1348.0,1374.97,3,80.92,0.02,15,momentum_break,0.4919,0.6014,0.0401,NEUTRAL/TRENDING,1.559,-0.024
SHOP,2020-12-22,2020-12-31,1276.97,1133.73,3,-429.71,-0.1122,6,trail_loss,0.2787,0.717,0.039,NEUTRAL/TRENDING,1.987,-0.884
AMZN,2020-12-18,2021-01-04,3206.94,3206.62,1,-0.32,-0.0001,9,trail_loss,0.5875,0.6577,0.0404,NEUTRAL/MIXED,0.456,0.489
MRVL,2020-12-21,2021-01-04,47.29,45.84,85,-123.09,-0.0306,8,trail_loss,0.3587,0.7227,0.0391,NEUTRAL/TRENDING,0.94,0.316
CMCSA,2020-12-31,2021-01-04,52.49,49.89,62,-161.51,-0.0496,1,trail_loss,0.394,0.5598,0.0316,NEUTRAL/TRENDING,0.0,0.0
JD,2020-12-24,2021-01-07,84.55,86.87,39,90.56,0.0275,8,trail_profit,0.5826,1.0581,0.0324,NEUTRAL/MIXED,0.578,0.286
SCHW,2020-12-29,2021-01-07,52.56,59.11,74,484.73,0.1246,6,profit_target,0.2685,0.3955,0.0385,NEUTRAL/MIXED,1.32,1.0
SOXL,2020-12-09,2021-01-08,437.72,536.7,9,890.83,0.2261,20,profit_target,0.2665,0.4786,0.0383,NEUTRAL/TRENDING,1.889,1.0
SLV,2020-12-18,2021-01-08,23.97,24.36,173,66.84,0.0161,13,trail_profit,0.4666,0.7674,0.04,NEUTRAL/TRENDING,1.933,0.557
RIOT,2020-12-22,2021-01-11,14.65,20.33,272,1545.46,0.3878,12,trail_profit,0.2674,0.6999,0.0387,NEUTRAL/TRENDING,2.0,1.0
CMCSA,2021-01-04,2021-01-12,50.54,49.86,64,-43.33,-0.0134,6,trail_loss,0.3796,0.5474,0.0317,NEUTRAL/MIXED,-0.468,0.433
DOW,2021-01-04,2021-01-13,54.08,60.01,60,356.1,0.1097,7,profit_target,0.3959,0.4916,0.0316,NEUTRAL/MIXED,1.553,1.0
WMT,2021-01-07,2021-01-14,146.73,146.08,28,-18.19,-0.0044,5,trail_loss,0.5441,0.7554,0.0404,NEUTRAL/TRENDING,-0.314,0.167
FXI,2020-12-30,2021-01-20,46.26,52.25,69,413.23,0.1295,13,profit_target,0.3764,0.6732,0.0315,NEUTRAL/TRENDING,0.666,1.0
INTC,2021-01-04,2021-01-21,49.67,62.13,64,797.69,0.2509,12,profit_target,0.2526,0.4855,0.0309,NEUTRAL/TRENDING,1.204,1.0
BMY,2021-01-12,2021-01-22,65.51,64.23,63,-80.64,-0.0195,7,trail_loss,0.3681,0.5885,0.0394,NEUTRAL/TRENDING,1.37,-0.243
F,2021-01-11,2021-01-25,9.3,11.42,463,983.02,0.2283,9,trail_profit,0.5265,0.7612,0.0403,NEUTRAL/TRENDING,1.968,1.0
FCX,2021-01-07,2021-01-26,31.2,28.36,130,-369.41,-0.0911,12,trail_loss,0.2552,0.5769,0.0389,NEUTRAL/TRENDING,2.0,-0.408
CVS,2021-01-08,2021-01-27,74.88,73.03,56,-103.53,-0.0247,12,trail_loss,0.426,0.6215,0.0398,NEUTRAL/TRENDING,1.758,-0.249
TSCO,2021-01-14,2021-01-27,156.5,153.42,26,-80.0,-0.0197,8,trail_loss,0.4382,0.6462,0.0399,NEUTRAL/TRENDING,1.306,-0.628
TSLA,2021-01-08,2021-01-28,880.97,805.95,4,-300.09,-0.0852,13,trail_loss,0.2767,0.5928,0.0389,NEUTRAL/TRENDING,2.0,0.034
NFLX,2021-01-21,2021-01-28,580.36,546.87,7,-234.43,-0.0577,5,trail_loss,0.3358,0.7632,0.0394,NEUTRAL/TRENDING,1.436,-0.953
QXO,2021-01-22,2021-01-28,4.51,5.45,929,869.67,0.2076,4,trail_profit,0.3053,0.7356,0.0393,NEUTRAL/TRENDING,2.0,0.975
NOK,2021-01-26,2021-01-28,4.73,6.88,896,1927.16,0.4547,2,trail_profit,0.3413,0.7891,0.0394,NEUTRAL/TRENDING,2.0,1.0
KDP,2020-12-29,2021-01-29,32.01,32.08,123,8.66,0.0022,21,trail_profit,0.2806,0.4138,0.0388,NEUTRAL/TRENDING,0.732,0.477
KMI,2021-01-13,2021-01-29,15.33,14.51,271,-221.9,-0.0534,11,trail_loss,0.3703,0.6463,0.0394,NEUTRAL/TRENDING,1.866,-0.538
PLTR,2021-01-25,2021-01-29,36.24,35.25,116,-114.8,-0.0273,4,trail_loss,0.3495,0.8168,0.0395,NEUTRAL/TRENDING,2.0,0.582
SOXS,2021-01-29,2021-02-02,15.49,13.39,226,-474.36,-0.1355,2,trail_loss,0.5133,1.0891,0.0322,NEUTRAL/TRENDING,-2.0,-0.092
SLV,2021-02-01,2021-02-03,26.77,24.85,128,-245.73,-0.0717,2,trail_loss,0.4071,1.1541,0.0316,NEUTRAL/TRENDING,-0.739,-0.028
CVE,2021-02-02,2021-02-09,6.18,6.1,689,-57.02,-0.0134,5,trail_loss,0.4044,0.642,0.0394,NEUTRAL/MIXED,-0.933,0.41
RIOT,2021-02-03,2021-02-10,22.86,32.72,186,1834.37,0.4314,5,trail_profit,0.3885,0.7783,0.0397,NEUTRAL/TRENDING,1.701,1.0
ABT,2021-01-27,2021-02-12,114.34,128.14,29,400.08,0.1207,12,profit_target,0.3789,0.7414,0.0312,NEUTRAL/TRENDING,1.989,1.0
MSFT,2021-01-20,2021-02-16,224.45,243.48,19,361.54,0.0848,18,profit_target,0.5279,0.8016,0.0403,NEUTRAL/TRENDING,1.478,0.557
NOK,2021-01-28,2021-02-16,4.71,4.18,734,-387.67,-0.1121,12,trail_loss,0.4681,1.067,0.0317,NEUTRAL/TRENDING,1.4,-0.119
PLTR,2021-01-29,2021-02-17,35.18,28.98,96,-594.89,-0.1761,12,trail_loss,0.3653,0.8997,0.0312,NEUTRAL/TRENDING,1.977,-0.815
SHOP,2021-02-02,2021-02-17,1238.2,1403.17,3,494.9,0.1332,10,trail_profit,0.3748,0.6265,0.039,NEUTRAL/TRENDING,1.951,0.977
PFE,2021-02-02,2021-02-19,35.01,34.62,118,-46.14,-0.0112,12,trail_loss,0.2348,0.5453,0.0382,NEUTRAL/MIXED,-1.613,-0.222
HAL,2021-02-09,2021-02-19,19.78,19.52,231,-59.61,-0.013,7,trail_loss,0.7573,1.0563,0.0414,NEUTRAL/TRENDING,-0.936,-0.277
RIOT,2021-02-12,2021-02-22,49.19,60.16,88,965.48,0.223,5,trail_profit,0.4175,0.9975,0.0398,NEUTRAL/TRENDING,2.0,0.938
JD,2021-02-17,2021-02-22,106.96,97.68,40,-371.15,-0.0868,3,trail_loss,0.2979,0.5386,0.0387,NEUTRAL/TRENDING,2.0,0.563
AAL,2021-01-28,2021-02-23,18.09,19.17,188,202.93,0.0597,17,trail_profit,0.3547,0.9301,0.0312,NEUTRAL/TRENDING,1.906,0.994
SOXL,2021-02-17,2021-02-23,661.12,613.17,6,-287.69,-0.0725,4,trail_loss,0.4305,0.779,0.0398,NEUTRAL/TRENDING,0.979,-0.692
QXO,2021-02-19,2021-02-23,7.26,6.01,471,-590.17,-0.1726,2,trail_loss,0.2856,0.6056,0.031,NEUTRAL/TRENDING,2.0,0.646
CNQ,2021-02-16,2021-02-26,27.64,28.0,156,56.63,0.0131,8,trail_profit,0.4183,0.7018,0.0392,NEUTRAL/TRENDING,2.0,0.228
QXO,2021-02-23,2021-02-26,6.98,7.67,501,344.48,0.0985,3,trail_profit,0.381,0.7843,0.0315,NEUTRAL/TRENDING,2.0,0.665
XLF,2021-02-23,2021-02-26,32.92,32.28,104,-66.95,-0.0196,3,trail_loss,0.3629,0.5763,0.031,NEUTRAL/TRENDING,1.983,0.58
CCL,2021-02-19,2021-03-05,24.6,24.68,142,11.35,0.0032,10,trail_profit,0.3838,0.7697,0.0317,NEUTRAL/TRENDING,2.0,0.467
NCLH,2021-02-22,2021-03-05,28.57,29.14,122,69.16,0.0198,9,trail_profit,0.2828,0.612,0.0312,NEUTRAL/TRENDING,2.0,0.829
AAL,2021-02-23,2021-03-05,20.67,19.03,169,-277.18,-0.0793,8,trail_loss,0.3599,0.7864,0.0316,NEUTRAL/TRENDING,2.0,0.148
OXY,2021-02-10,2021-03-09,25.6,28.24,172,454.52,0.1032,18,trail_profit,0.3722,0.7941,0.0394,NEUTRAL/TRENDING,1.949,0.648
QID,2021-02-26,2021-03-10,27.42,27.06,126,-45.23,-0.0131,8,trail_loss,0.3174,0.6987,0.0313,NEUTRAL/TRENDING,1.357,0.183
SQQQ,2021-02-26,2021-03-10,14.42,13.98,238,-104.75,-0.0305,8,trail_loss,0.3025,0.6543,0.0311,NEUTRAL/TRENDING,1.273,0.122
PPL,2021-03-05,2021-03-10,28.26,27.59,125,-83.78,-0.0237,3,trail_loss,0.46,0.7709,0.0314,NEUTRAL/TRENDING,0.127,-0.12
CMCSA,2021-01-28,2021-03-11,51.5,56.85,68,363.91,0.1039,29,profit_target,0.5505,1.1101,0.0323,NEUTRAL/TRENDING,1.102,1.0
SOXS,2021-03-05,2021-03-12,13.35,12.69,270,-179.07,-0.0497,5,trail_loss,0.515,0.8309,0.032,NEUTRAL/MIXED,0.644,-0.658
