symbol,entry_date,exit_date,entry_price,exit_price,shares,pnl,pnl_pct,hold_days,exit_reason,t_statistic,composite_score,kelly_fraction,regime
SNOW,2021-03-30,2021-04-09,221.95,227.34,37,199.5,0.0243,7,stop_loss,1.7391,0.4011,0.08,NEUTRAL
NET,2021-04-14,2021-04-20,74.63,73.09,112,-172.77,-0.0207,4,stop_loss,1.7761,0.4097,0.08,NEUTRAL
LLY,2021-04-22,2021-04-27,187.13,184.49,44,-116.18,-0.0141,3,stop_loss,1.8688,0.431,0.08,NEUTRAL
SNOW,2021-04-23,2021-04-29,235.62,227.82,35,-273.06,-0.0331,4,stop_loss,2.0099,0.4636,0.08,NEUTRAL
PEP,2021-04-23,2021-05-04,145.96,143.68,57,-130.08,-0.0156,7,stop_loss,1.8344,0.4231,0.08,NEUTRAL
WMT,2021-04-26,2021-05-04,137.98,140.33,60,141.19,0.0171,6,stop_loss,1.6671,0.3845,0.08,NEUTRAL
OXY,2021-04-30,2021-05-11,25.37,26.32,329,311.51,0.0373,7,stop_loss,1.8163,0.4189,0.08,NEUTRAL
HAL,2021-05-04,2021-05-11,20.96,22.27,400,524.12,0.0625,5,stop_loss,2.44,0.5628,0.08,NEUTRAL
CMCSA,2021-05-04,2021-05-11,56.63,57.55,148,136.02,0.0162,5,stop_loss,1.7229,0.3974,0.08,NEUTRAL
DIS,2021-05-07,2021-05-11,185.0,182.55,45,-110.31,-0.0133,2,stop_loss,1.6973,0.3915,0.08,NEUTRAL
CMCSA,2021-05-12,2021-05-17,56.65,57.13,148,71.22,0.0085,3,stop_loss,1.8758,0.4326,0.08,NEUTRAL
INTC,2021-05-11,2021-05-19,55.05,54.23,153,-125.73,-0.0149,6,stop_loss,1.7186,0.3964,0.08,NEUTRAL
NFLX,2021-05-21,2021-06-01,497.87,497.73,16,-2.17,-0.0003,6,stop_loss,2.0079,0.4631,0.08,NEUTRAL
AAL,2021-05-19,2021-06-04,22.98,24.66,366,614.03,0.073,11,stop_loss,2.2608,0.5215,0.08,NEUTRAL
CCL,2021-05-18,2021-06-10,28.01,29.78,300,531.3,0.0632,16,stop_loss,1.6775,0.3869,0.08,NEUTRAL
OXY,2021-06-04,2021-06-10,29.14,28.16,292,-287.35,-0.0338,4,stop_loss,1.7524,0.4042,0.08,NEUTRAL
PEP,2021-06-18,2021-06-23,145.38,144.81,58,-33.18,-0.0039,3,stop_loss,1.669,0.3849,0.08,NEUTRAL
AVGO,2021-06-18,2021-06-25,463.53,461.44,18,-37.69,-0.0045,5,stop_loss,2.2914,0.5285,0.08,NEUTRAL
