symbol,direction,entry_price,exit_price,shares,pnl_net,pnl_gross,hold_minutes,exit_reason,score,hurst,ir,entry_time,exit_time
GOOGL,short,302.29878720092773,302.29878720092773,7,-2.17,0.0,85,STOP,0.5385,0.5,-0.0938,2026-02-17 19:25:00+00:00,2026-02-17 20:50:00+00:00
SPY,short,682.528560119629,685.43,3,-10.81,-8.7,45,STOP,0.8462,0.5,-0.2418,2026-02-17 20:25:00+00:00,2026-02-18 14:40:00+00:00
QQQ,short,600.8610402832031,604.07,4,-15.31,-12.84,55,STOP,0.7692,0.5,-0.281,2026-02-17 20:25:00+00:00,2026-02-18 14:50:00+00:00
META,short,639.7549747009277,639.7549747009277,4,-2.63,0.0,40,STOP,0.5385,0.5,-0.1517,2026-02-18 18:55:00+00:00,2026-02-18 19:35:00+00:00
NVDA,short,188.70560305023196,186.85,15,24.94,27.83,80,TARGET,0.8462,0.5,-0.0469,2026-02-18 18:55:00+00:00,2026-02-18 20:15:00+00:00
AAPL,short,264.9410715942383,263.9531914550781,6,4.3,5.93,95,TRAIL,0.5846,0.5,-0.2006,2026-02-18 18:55:00+00:00,2026-02-18 20:30:00+00:00
META,short,636.4815877990723,640.65,4,-19.3,-16.67,35,STOP,0.7692,0.5,-0.3604,2026-02-18 19:55:00+00:00,2026-02-18 20:30:00+00:00
MSFT,short,400.24978720092776,400.24978720092776,7,-2.88,0.0,110,STOP,0.7692,0.5,-0.3033,2026-02-18 18:55:00+00:00,2026-02-18 20:45:00+00:00
TSLA,short,413.2632662200928,411.20001220703125,6,9.84,12.38,120,TIME,0.7692,0.5,-0.099,2026-02-18 18:55:00+00:00,2026-02-18 20:55:00+00:00
GOOGL,short,303.13836354064944,301.27920854492186,8,12.39,14.87,5,TRAIL,0.8,0.5,0.478,2026-02-18 20:55:00+00:00,2026-02-19 14:30:00+00:00
MSFT,short,399.32523139953616,399.5606048828125,7,-4.52,-1.65,10,STOP,0.7692,0.5,-0.1838,2026-02-18 20:55:00+00:00,2026-02-19 14:35:00+00:00
TSLA,short,409.5701979064942,409.9700012207031,5,-4.1,-2.0,120,TIME,0.5692,0.5,0.1682,2026-02-19 18:25:00+00:00,2026-02-19 20:25:00+00:00
META,short,643.030252746582,642.171829296875,3,0.59,2.58,35,TRAIL,0.5385,0.5,-0.0315,2026-02-19 20:25:00+00:00,2026-02-20 14:30:00+00:00
GOOGL,short,302.65859255981445,305.2,7,-19.98,-17.79,35,STOP,0.5846,0.5,-0.3095,2026-02-19 20:25:00+00:00,2026-02-20 14:30:00+00:00
NVDA,short,187.55616889953615,187.55616889953615,15,-2.89,0.0,10,STOP,0.8,0.5,0.0139,2026-02-20 14:55:00+00:00,2026-02-20 15:05:00+00:00
GOOGL,short,314.84250000000003,317.08,8,-20.5,-17.9,5,STOP,0.8462,0.5,-0.0229,2026-02-20 20:55:00+00:00,2026-02-23 14:30:00+00:00
NVDA,short,191.22434732055666,191.22434732055666,15,-2.95,0.0,80,STOP,0.8462,0.5,-0.5393,2026-02-23 15:25:00+00:00,2026-02-23 16:45:00+00:00
NVDA,short,191.36427671051027,190.88999938964844,14,3.89,6.64,120,TIME,0.8,0.5,0.166,2026-02-23 18:25:00+00:00,2026-02-23 20:25:00+00:00
MSFT,short,386.5916111602783,383.2731018066406,7,20.46,23.23,120,TIME,0.8462,0.5,-0.0754,2026-02-23 18:25:00+00:00,2026-02-23 20:25:00+00:00
AAPL,short,266.64660877990724,266.64660877990724,6,-1.64,0.0,25,STOP,0.5692,0.5,0.0822,2026-02-23 20:25:00+00:00,2026-02-23 20:50:00+00:00
QQQ,short,606.2217619018555,608.1900024414062,4,-10.37,-7.87,120,TIME,0.8462,0.5,-0.2398,2026-02-24 15:55:00+00:00,2026-02-24 17:55:00+00:00
TSLA,short,404.5376202392578,408.94,5,-24.1,-22.01,65,STOP,0.5385,0.5,-0.0298,2026-02-24 17:55:00+00:00,2026-02-24 19:00:00+00:00
AAPL,short,273.8280138397217,273.8280138397217,7,-1.97,0.0,45,STOP,0.8462,0.5,-0.0281,2026-02-25 16:25:00+00:00,2026-02-25 17:10:00+00:00
NVDA,short,195.94708242797853,197.36000061035156,13,-21.0,-18.37,120,TIME,0.5385,0.5,-0.1069,2026-02-25 15:25:00+00:00,2026-02-25 17:25:00+00:00
TSLA,short,414.6225715789795,414.0849914550781,5,0.56,2.69,120,TIME,0.5385,0.5,-0.0596,2026-02-25 15:25:00+00:00,2026-02-25 17:25:00+00:00
TSLA,short,413.8779489593506,415.9200134277344,6,-14.81,-12.25,120,TIME,0.8462,0.5,-0.3735,2026-02-25 17:25:00+00:00,2026-02-25 19:25:00+00:00
SPY,short,691.6239857177735,692.8699951171875,3,-5.87,-3.74,120,TIME,0.5385,0.5,-0.0767,2026-02-25 17:25:00+00:00,2026-02-25 19:25:00+00:00
GOOGL,short,310.2747776794434,312.04,8,-16.68,-14.12,105,STOP,0.8462,0.5,-0.1833,2026-02-25 18:25:00+00:00,2026-02-25 20:10:00+00:00
NVDA,short,196.6315392227173,196.89500427246094,13,-6.05,-3.43,120,TIME,0.5385,0.5,-0.0929,2026-02-25 18:25:00+00:00,2026-02-25 20:25:00+00:00
MSFT,short,398.5356178588867,400.84,7,-19.01,-16.13,120,STOP,1.0,0.5,-0.0303,2026-02-25 18:25:00+00:00,2026-02-25 20:25:00+00:00
TSLA,short,415.7120534210205,415.7120534210205,5,-2.14,0.0,65,STOP,0.5385,0.5,-0.0467,2026-02-25 19:25:00+00:00,2026-02-25 20:30:00+00:00
META,short,650.8880162353516,650.8880162353516,3,-2.01,0.0,25,STOP,0.5385,0.5,-0.2885,2026-02-25 20:25:00+00:00,2026-02-25 20:50:00+00:00
QQQ,short,615.7969279785157,614.74,4,1.7,4.23,35,TARGET,1.0,0.5,-0.0098,2026-02-25 20:25:00+00:00,2026-02-26 14:30:00+00:00
AAPL,short,273.7380625,273.7380625,7,-1.97,0.0,15,STOP,0.8462,0.5,-0.5396,2026-02-26 14:55:00+00:00,2026-02-26 15:10:00+00:00
META,short,653.5330553588867,655.9899291992188,3,-9.39,-7.37,120,TIME,0.5385,0.5,-0.1941,2026-02-26 16:55:00+00:00,2026-02-26 18:55:00+00:00
TSLA,short,407.41618511962895,401.77,5,26.15,28.23,65,TARGET,0.5385,0.5,-0.2037,2026-02-26 19:55:00+00:00,2026-02-27 14:30:00+00:00
QQQ,short,608.4955877990723,603.52,3,13.06,14.93,65,TARGET,0.5385,0.5,-0.0794,2026-02-26 19:55:00+00:00,2026-02-27 14:30:00+00:00
GOOGL,short,307.2862824401856,304.4,8,20.58,23.09,5,TARGET,0.8462,0.5,-0.2323,2026-02-26 20:55:00+00:00,2026-02-27 14:30:00+00:00
SPY,short,688.9753473205567,686.15,4,8.47,11.3,5,TARGET,1.0,0.5,-0.0376,2026-02-26 20:55:00+00:00,2026-02-27 14:30:00+00:00
GOOGL,short,308.17084970092776,307.90728759765625,7,-0.37,1.84,120,TIME,0.5385,0.5,-0.0873,2026-02-27 15:25:00+00:00,2026-02-27 17:25:00+00:00
MSFT,short,394.6425763397217,394.6425763397217,6,-2.43,0.0,30,STOP,0.5385,0.5,-0.0816,2026-02-27 17:25:00+00:00,2026-02-27 17:55:00+00:00
NVDA,short,178.81054389953616,178.81054389953616,14,-2.57,0.0,5,STOP,0.5385,0.5,-0.0096,2026-02-27 20:25:00+00:00,2026-02-27 20:30:00+00:00
TSLA,short,399.53014598083496,393.78,5,26.71,28.75,95,TARGET,0.5385,0.5,-0.0012,2026-02-27 19:25:00+00:00,2026-03-02 14:30:00+00:00
TSLA,short,401.67906488037113,401.67906488037113,5,-2.06,0.0,75,STOP,0.5385,0.5,-0.012,2026-03-02 17:55:00+00:00,2026-03-02 19:10:00+00:00
SPY,short,684.9373892822266,687.54,3,-9.92,-7.81,20,STOP,0.7692,0.5,-0.359,2026-03-02 18:55:00+00:00,2026-03-02 19:15:00+00:00
AAPL,short,264.4876851196289,266.25,7,-14.25,-12.34,35,STOP,0.7692,0.5,-0.2934,2026-03-02 18:55:00+00:00,2026-03-02 19:30:00+00:00
MSFT,short,399.30025,399.5000915527344,7,-4.27,-1.4,120,TIME,0.8462,0.5,-0.1158,2026-03-02 17:55:00+00:00,2026-03-02 19:55:00+00:00
GOOGL,short,308.1858263397217,307.2699890136719,8,4.8,7.33,120,TIME,0.8,0.5,0.1412,2026-03-02 17:55:00+00:00,2026-03-02 19:55:00+00:00
AAPL,short,265.6471087799072,265.8111122070313,6,-2.62,-0.98,10,STOP,0.5385,0.5,-0.324,2026-03-02 19:55:00+00:00,2026-03-02 20:05:00+00:00
META,short,655.0723244018556,655.0723244018556,3,-2.02,0.0,10,STOP,0.5385,0.5,-0.0061,2026-03-02 19:55:00+00:00,2026-03-02 20:05:00+00:00
SPY,short,687.8509098205567,687.6829219726562,3,-1.62,0.5,10,TRAIL,0.5385,0.5,-0.0498,2026-03-02 19:55:00+00:00,2026-03-02 20:05:00+00:00
TSLA,short,402.2487872009278,400.54500366210937,5,6.46,8.52,20,TRAIL,0.5385,0.5,-0.0072,2026-03-02 19:55:00+00:00,2026-03-02 20:15:00+00:00
AAPL,short,264.4677061004639,262.53930986328123,7,11.6,13.5,5,TRAIL,0.8462,0.5,-0.0141,2026-03-02 20:55:00+00:00,2026-03-03 14:30:00+00:00
META,short,651.5240505981445,651.5240505981445,3,-2.01,0.0,15,STOP,0.5385,0.5,-0.2189,2026-03-03 17:25:00+00:00,2026-03-03 17:40:00+00:00
MSFT,short,399.9281402435303,405.14,7,-39.38,-36.48,120,STOP,0.8,0.5,0.7985,2026-03-03 16:25:00+00:00,2026-03-03 18:25:00+00:00
TSLA,short,393.0933635406494,393.0933635406494,6,-2.42,0.0,70,STOP,0.8,0.5,0.3023,2026-03-03 18:25:00+00:00,2026-03-03 19:35:00+00:00
QQQ,short,601.4291154785157,606.43,3,-16.86,-15.0,95,STOP,0.5385,0.5,-0.1645,2026-03-03 19:25:00+00:00,2026-03-04 14:30:00+00:00
META,short,654.7824303588867,660.98,4,-27.49,-24.79,35,STOP,0.8462,0.5,-0.2011,2026-03-03 20:25:00+00:00,2026-03-04 14:30:00+00:00
MSFT,short,403.52314360046387,403.33309755859375,7,-1.57,1.33,35,TRAIL,0.8462,0.5,-0.4245,2026-03-03 20:25:00+00:00,2026-03-04 14:30:00+00:00
GOOGL,short,300.8944909210205,302.9949951171875,7,-16.88,-14.7,120,TIME,0.5385,0.5,-0.3077,2026-03-03 19:25:00+00:00,2026-03-04 14:55:00+00:00
TSLA,short,397.7923068389893,404.53,6,-42.9,-40.43,25,STOP,0.8462,0.5,-0.6084,2026-03-04 14:55:00+00:00,2026-03-04 15:20:00+00:00
NVDA,short,180.8795162200928,182.6898956298828,14,-27.96,-25.35,120,TIME,0.5385,0.5,-0.4108,2026-03-04 14:55:00+00:00,2026-03-04 16:55:00+00:00
QQQ,short,605.3572651672364,611.1400146484375,3,-19.22,-17.35,120,TIME,0.5385,0.5,-0.1632,2026-03-04 14:55:00+00:00,2026-03-04 16:55:00+00:00
MSFT,short,404.9374446411133,409.89,6,-32.23,-29.72,75,STOP,0.5385,0.5,-0.1826,2026-03-04 16:55:00+00:00,2026-03-04 18:10:00+00:00
GOOGL,short,303.9279465789795,303.17999267578125,7,3.05,5.24,120,TIME,0.5385,0.5,-0.0743,2026-03-04 16:55:00+00:00,2026-03-04 18:55:00+00:00
GOOGL,short,303.0284026794434,303.0284026794434,8,-2.49,0.0,95,STOP,0.7692,0.5,-0.0796,2026-03-04 18:55:00+00:00,2026-03-04 20:30:00+00:00
TSLA,short,405.2222752990723,401.92518779296876,5,14.41,16.49,65,TRAIL,0.5385,0.5,-0.0214,2026-03-04 19:55:00+00:00,2026-03-05 14:30:00+00:00
NVDA,short,182.81854866027834,181.64519755859374,14,13.8,16.43,5,TRAIL,0.5692,0.5,0.0983,2026-03-04 20:55:00+00:00,2026-03-05 14:30:00+00:00
SPY,short,684.817393157959,682.23,3,5.65,7.76,5,TARGET,0.7692,0.5,-0.2788,2026-03-04 20:55:00+00:00,2026-03-05 14:30:00+00:00
QQQ,short,610.3317054138184,607.63,4,8.3,10.81,5,TARGET,0.7692,0.5,-0.1172,2026-03-04 20:55:00+00:00,2026-03-05 14:30:00+00:00
NVDA,short,182.68860877990724,182.68860877990724,13,-2.44,0.0,50,STOP,0.5385,0.5,-0.4179,2026-03-05 16:25:00+00:00,2026-03-05 17:15:00+00:00
MSFT,short,409.08536354064944,409.08536354064944,6,-2.52,0.0,75,STOP,0.8462,0.5,-0.4957,2026-03-05 17:25:00+00:00,2026-03-05 18:40:00+00:00
MSFT,short,410.40968273925785,411.8999938964844,6,-11.48,-8.94,120,TIME,0.5385,0.5,-0.2983,2026-03-06 14:55:00+00:00,2026-03-06 16:55:00+00:00
NVDA,short,180.73458444976808,180.73458444976808,15,-2.79,0.0,80,STOP,0.7692,0.5,-0.1209,2026-03-06 17:55:00+00:00,2026-03-06 19:15:00+00:00
TSLA,short,398.1108425598145,400.04998779296875,5,-11.75,-9.7,120,TIME,0.5385,0.5,-0.1092,2026-03-06 17:55:00+00:00,2026-03-06 19:55:00+00:00
QQQ,short,602.3986622009278,603.27001953125,4,-5.96,-3.49,120,TIME,0.7692,0.5,-0.1647,2026-03-06 17:55:00+00:00,2026-03-06 19:55:00+00:00
TSLA,short,399.8499627990723,399.8499627990723,6,-2.47,0.0,15,STOP,0.8,0.5,0.088,2026-03-06 19:55:00+00:00,2026-03-06 20:10:00+00:00
QQQ,short,602.9683845214844,602.9683845214844,4,-2.48,0.0,15,STOP,0.8462,0.5,-0.0769,2026-03-06 19:55:00+00:00,2026-03-06 20:10:00+00:00
META,short,643.8478979187012,643.8478979187012,4,-2.65,0.0,45,STOP,0.7692,0.5,-0.1423,2026-03-06 19:55:00+00:00,2026-03-06 20:40:00+00:00
GOOGL,short,298.6306087799072,298.6306087799072,7,-2.15,0.0,45,STOP,0.5846,0.5,-0.1594,2026-03-06 19:55:00+00:00,2026-03-06 20:40:00+00:00
AAPL,short,256.20304167175294,257.44000244140625,6,-9.01,-7.42,120,TIME,0.5385,0.5,-0.0264,2026-03-06 18:55:00+00:00,2026-03-06 20:55:00+00:00
GOOGL,short,298.330770980835,294.3,7,26.08,28.22,5,TARGET,0.5692,0.5,0.094,2026-03-06 20:55:00+00:00,2026-03-09 13:30:00+00:00
