symbol,direction,entry_price,exit_price,shares,pnl_net,pnl_gross,hold_minutes,exit_reason,score,hurst,ir,entry_time,exit_time
META,short,606.73645803833,606.73645803833,4,-2.49,0.0,15,STOP,0.5385,0.5,-0.1084,2026-03-19 16:25:00+00:00,2026-03-19 16:40:00+00:00
AAPL,short,249.13536450958253,248.02200317382812,6,5.15,6.68,120,TIME,0.5385,0.5,-0.1244,2026-03-19 16:25:00+00:00,2026-03-19 18:25:00+00:00
GOOGL,short,306.6765715789795,304.10261342773435,7,15.82,18.02,35,TRAIL,0.5385,0.5,-0.0317,2026-03-19 19:25:00+00:00,2026-03-20 13:30:00+00:00
TSLA,short,374.4526946411133,374.4526946411133,6,-2.31,0.0,10,STOP,0.5385,0.5,-0.1377,2026-03-20 16:55:00+00:00,2026-03-20 17:05:00+00:00
AAPL,short,248.32577194976807,248.32577194976807,7,-1.79,0.0,25,STOP,0.8,0.5,0.1864,2026-03-20 18:55:00+00:00,2026-03-20 19:20:00+00:00
QQQ,short,592.9233607177734,592.9233607177734,3,-1.83,0.0,10,STOP,0.5385,0.5,-0.2825,2026-03-23 15:25:00+00:00,2026-03-23 15:35:00+00:00
META,short,607.6096174316407,607.6096174316407,4,-2.5,0.0,40,STOP,0.5385,0.5,-0.0078,2026-03-23 15:25:00+00:00,2026-03-23 16:05:00+00:00
AAPL,short,252.4536050720215,250.9199981689453,6,7.65,9.2,120,TIME,0.5385,0.5,-0.0829,2026-03-23 15:25:00+00:00,2026-03-23 17:25:00+00:00
NVDA,short,174.72259255981447,176.10499572753906,15,-23.44,-20.74,120,TIME,0.7692,0.5,-0.1269,2026-03-23 16:25:00+00:00,2026-03-23 18:25:00+00:00
TSLA,short,377.2013196411133,379.70001220703125,6,-17.33,-14.99,120,TIME,0.7692,0.5,-0.1556,2026-03-23 16:25:00+00:00,2026-03-23 18:25:00+00:00
GOOGL,short,300.9945385284424,302.010009765625,8,-10.6,-8.12,120,TIME,0.7692,0.5,-0.8125,2026-03-23 16:25:00+00:00,2026-03-23 18:25:00+00:00
SPY,short,653.7629818420411,657.3900146484375,3,-12.9,-10.88,120,TIME,0.7692,0.5,-0.436,2026-03-23 16:25:00+00:00,2026-03-23 18:25:00+00:00
NVDA,short,176.0169432296753,176.0169432296753,14,-2.53,0.0,90,STOP,0.5385,0.5,-0.0975,2026-03-23 18:25:00+00:00,2026-03-23 19:55:00+00:00
AAPL,short,251.63911688995364,251.63911688995364,7,-1.81,0.0,30,STOP,0.8462,0.5,-0.192,2026-03-23 19:25:00+00:00,2026-03-23 19:55:00+00:00
GOOGL,short,302.4886946411133,302.4886946411133,7,-2.18,0.0,30,STOP,0.5385,0.5,-0.0346,2026-03-23 19:25:00+00:00,2026-03-23 19:55:00+00:00
TSLA,short,379.51016220092777,379.31059755859377,6,-1.14,1.2,95,TRAIL,0.5385,0.5,-0.1707,2026-03-23 18:25:00+00:00,2026-03-24 13:30:00+00:00
SPY,short,657.0013520812988,652.59,3,11.21,13.23,35,TARGET,0.8462,0.5,-0.2484,2026-03-23 19:25:00+00:00,2026-03-24 13:30:00+00:00
SPY,short,654.8224494018555,654.8224494018555,3,-2.02,0.0,5,STOP,0.8462,0.5,-0.0737,2026-03-24 16:55:00+00:00,2026-03-24 17:00:00+00:00
NVDA,short,175.2773229904175,175.2773229904175,15,-2.7,0.0,115,STOP,0.8,0.5,0.54,2026-03-24 17:55:00+00:00,2026-03-24 19:50:00+00:00
AAPL,short,252.29879055023196,252.29879055023196,7,-1.82,0.0,65,STOP,0.7692,0.5,-0.0355,2026-03-24 18:55:00+00:00,2026-03-25 13:30:00+00:00
SPY,short,654.5325553588867,654.5325553588867,3,-2.02,0.0,65,STOP,0.5385,0.5,-0.0268,2026-03-24 18:55:00+00:00,2026-03-25 13:30:00+00:00
QQQ,short,585.0373520812989,585.0373520812989,3,-1.8,0.0,65,STOP,0.5385,0.5,-0.0343,2026-03-24 18:55:00+00:00,2026-03-25 13:30:00+00:00
NVDA,short,175.22234255981445,176.71,14,-23.36,-20.83,5,STOP,0.5385,0.5,-0.0384,2026-03-24 19:55:00+00:00,2026-03-25 13:30:00+00:00
TSLA,short,382.9184303588867,387.56,5,-25.19,-23.21,5,STOP,0.5385,0.5,-0.1842,2026-03-24 19:55:00+00:00,2026-03-25 13:30:00+00:00
TSLA,short,392.40370610046386,392.40370610046386,5,-2.02,0.0,10,STOP,0.5385,0.5,-0.1268,2026-03-25 15:25:00+00:00,2026-03-25 15:35:00+00:00
QQQ,short,588.6954952392579,588.6954952392579,3,-1.82,0.0,55,STOP,0.5385,0.5,-0.2916,2026-03-25 15:25:00+00:00,2026-03-25 16:20:00+00:00
NVDA,short,179.91,178.92999267578125,13,10.34,12.74,120,TIME,0.5385,0.5,-0.1347,2026-03-25 15:25:00+00:00,2026-03-25 17:25:00+00:00
META,short,597.820935119629,601.4249877929688,4,-16.88,-14.42,120,TIME,0.8462,0.5,-0.1393,2026-03-25 15:25:00+00:00,2026-03-25 17:25:00+00:00
TSLA,short,388.91543035888674,388.91543035888674,5,-2.0,0.0,90,STOP,0.5692,0.5,0.1054,2026-03-25 16:25:00+00:00,2026-03-25 17:55:00+00:00
AAPL,short,254.0179317703247,253.02819450683594,7,5.1,6.93,110,TRAIL,0.8462,0.5,-0.062,2026-03-25 17:25:00+00:00,2026-03-25 19:15:00+00:00
SPY,short,657.6910095214844,656.510009765625,3,1.52,3.54,120,TIME,0.8,0.5,0.1188,2026-03-25 17:25:00+00:00,2026-03-25 19:25:00+00:00
AAPL,short,253.64311927032472,255.69,7,-16.16,-14.33,25,STOP,0.8,0.5,1.117,2026-03-26 13:55:00+00:00,2026-03-26 14:20:00+00:00
AAPL,short,253.6780901794434,253.6780901794434,7,-1.83,0.0,90,STOP,0.7692,0.5,-0.4863,2026-03-26 17:55:00+00:00,2026-03-26 19:25:00+00:00
